0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,105.33445183152128,105.33445183152128,105.33445183152128,105.33445183152128,105.33445183152128,105.33469937828231,105.33469937828231,105.33469937828231,105.33469937828231,105.33469937828231,105.33469937828231,105.33469937828231,105.33469937828231,105.33469937828231,105.33469937828231
120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,105.33438144135562,105.33438144135562,105.33438144135562,105.33438144135562,105.33438144135562,92.78430546313635,92.78430546313635,92.78430546313635,92.78430546313635,92.78430546313635,92.78430546313635,92.78430546313635,92.78430546313635,92.78430546313635,92.78430546313635
120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,105.33428725171801,105.33428725171801,105.33428725171801,105.33428725171801,105.33428725171801,87.5037674591852,87.5037674591852,87.5037674591852,87.5037674591852,87.5037674591852,87.5037674591852,87.5037674591852,87.5037674591852,87.5037674591852,87.5037674591852
120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,105.33419183629624,105.33419183629624,105.33419183629624,105.33419183629624,105.33419183629624,88.84811796558688,88.84811796558688,88.84811796558688,88.84811796558688,88.84811796558688,88.84811796558688,88.84811796558688,88.84811796558688,88.84811796558688,88.84811796558688
120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,105.33406616288437,105.33406616288437,105.33406616288437,105.33406616288437,105.33406616288437,87.05490938763265,87.05490938763265,87.05490938763265,87.05490938763265,87.05490938763265,87.05490938763265,87.05490938763265,87.05490938763265,87.05490938763265,87.05490938763265
120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,105.27615711465286,105.27615711465286,105.27615711465286,105.27615711465286,105.27615711465286,84.9419945338241,84.9419945338241,84.9419945338241,84.9419945338241,84.9419945338241,84.9419945338241,84.9419945338241,84.9419945338241,84.9419945338241,84.9419945338241
120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,105.24479791771363,105.24479791771363,105.24479791771363,105.24479791771363,105.24479791771363,85.0222833866625,85.0222833866625,85.0222833866625,85.0222833866625,85.0222833866625,85.0222833866625,85.0222833866625,85.0222833866625,85.0222833866625,85.0222833866625
120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,105.2552151240225,105.2552151240225,105.2552151240225,105.2552151240225,105.2552151240225,85.02670777975231,85.02670777975231,85.02670777975231,85.02670777975231,85.02670777975231,85.02670777975231,85.02670777975231,85.02670777975231,85.02670777975231,85.02670777975231
120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,105.23534682794694,105.23534682794694,105.23534682794694,105.23534682794694,105.23534682794694,83.20831215530362,83.20831215530362,83.20831215530362,83.20831215530362,83.20831215530362,83.20831215530362,83.20831215530362,83.20831215530362,83.20831215530362,83.20831215530362
120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,105.21200812153222,105.21200812153222,105.21200812153222,105.21200812153222,105.21200812153222,80.85090236370827,80.85090236370827,80.85090236370827,80.85090236370827,80.85090236370827,80.85090236370827,80.85090236370827,80.85090236370827,80.85090236370827,80.85090236370827
120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,105.21402930234095,105.21402930234095,105.21402930234095,105.21402930234095,105.21402930234095,79.99140863459594,79.99140863459594,79.99140863459594,79.99140863459594,79.99140863459594,79.99140863459594,79.99140863459594,79.99140863459594,79.99140863459594,79.99140863459594
